x,Amplitude
-387598.7598759876,0.016058929991084842
-387518.7518751875,0.01603498218747651
-387438.74387438747,0.016011103376108938
-387358.7358735874,0.015987293764658773
-387278.7278727873,0.015963553505189906
-387198.7198719872,0.01593988272283783
-387118.71187118714,0.015916281545485318
-387038.70387038705,0.015892750111283306
-386958.69586958695,0.01586928846116969
-386878.68786878686,0.015845896715361466
-386798.6798679868,0.015822575258213453
-386718.6718671867,0.015799323872808448
-386638.66386638663,0.015776142935306138
-386558.65586558654,0.015753032327651715
-386478.6478647865,0.01572999250026936
-386398.6398639864,0.015707023487863583
-386318.6318631863,0.015684125192680115
-386238.6238623862,0.015661297767772753
-386158.6158615862,0.01563854173551614
-386078.6078607861,0.015615856856337462
-385998.599859986,0.015593243355842876
-385918.5918591859,0.01557070155980866
-385838.58385838586,0.01554823101873726
